time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-02,10.5,10.5,10.5,10.5,0,,,,,
2018-01-03,10.5,10.5,10.5,10.5,0,,,,,
2018-01-04,10.5,10.5,10.5,10.5,0,,,,,
2018-01-05,10.5,10.5,10.5,10.5,0,,,,,
2018-01-08,10.5,10.5,10.5,10.5,0,,,,,
2018-01-09,10.5,10.5,10.5,10.5,0,,,,,
2018-01-10,10.5,10.5,10.5,10.5,0,,,,,
2018-01-11,10.5,10.5,10.5,10.5,0,,,,,
2018-01-12,10.5,10.5,10.5,10.5,0,,,,,
2018-01-15,10.5,10.5,10.5,10.5,0,,,,,
2018-01-16,10.5,10.5,10.5,10.5,0,,,,,
2018-01-17,10.5,10.5,10.5,10.5,0,,,,,
2018-01-18,10.5,10.5,10.5,10.5,0,,,,,
2018-01-19,10.5,10.5,10.5,10.5,0,0.0,,,,
2018-01-22,10.5,10.5,10.5,10.5,0,0.0,,,,0.0
2018-01-23,10.5,10.5,10.5,10.5,0,0.0,,,,0.0
2018-01-24,10.5,10.5,10.5,10.5,0,0.0,,,,0.0
2018-01-25,10.5,10.5,10.5,10.5,0,0.0,,,,0.0
2018-01-26,10.5,10.5,10.5,10.5,0,0.0,,,,0.0
2018-01-29,10.5,10.5,10.5,10.5,0,0.0,,,,0.0
2018-01-30,10.5,10.5,10.5,10.5,0,0.0,,,,0.0
2018-01-31,10.5,10.5,10.5,10.5,0,0.0,,,,0.0
2018-02-01,10.5,10.5,10.5,10.5,0,0.0,,,,0.0
2018-02-02,10.5,10.5,10.5,10.5,0,0.0,,,,0.0
2018-02-05,10.5,10.5,10.5,10.5,0,0.0,,,,0.0
2018-02-06,10.5,10.5,10.5,10.5,0,0.0,,,,0.0
2018-02-07,10.5,10.5,10.5,10.5,0,0.0,,,,0.0
2018-02-08,10.5,10.5,10.5,10.5,0,0.0,,,,0.0
2018-02-09,10.5,10.5,10.5,10.5,0,0.0,,,,0.0
2018-02-12,10.5,10.5,10.5,10.5,0,0.0,,,,0.0
2018-02-13,10.5,10.5,10.5,10.5,0,0.0,,,,0.0
2018-02-21,10.5,10.5,10.5,10.5,0,0.0,,,,0.0
2018-02-22,10.5,10.5,10.5,10.5,0,0.0,,,,0.0
2018-02-23,10.5,10.5,10.5,10.5,0,0.0,0.0,0.0,0.0,0.0
2018-02-26,10.5,10.5,10.5,10.5,0,0.0,0.0,0.0,0.0,0.0
2018-02-27,10.5,10.5,10.5,10.5,0,0.0,0.0,0.0,0.0,0.0
2018-02-28,10.5,10.5,10.5,10.5,0,0.0,0.0,0.0,0.0,0.0
2018-03-01,10.5,10.5,10.5,10.5,0,0.0,0.0,0.0,0.0,0.0
2018-03-02,10.5,10.5,10.5,10.5,0,0.0,0.0,0.0,0.0,0.0
2018-03-05,10.5,10.5,10.5,10.5,0,0.0,0.0,0.0,0.0,0.0
2018-03-06,10.5,10.5,10.5,10.5,0,0.0,0.0,0.0,0.0,0.0
2018-03-07,10.5,10.5,10.5,10.5,0,0.0,0.0,0.0,0.0,0.0
2018-03-08,10.5,10.5,10.5,10.5,0,0.0,0.0,0.0,0.0,0.0
2018-03-09,10.5,10.5,10.5,10.5,0,0.0,0.0,0.0,0.0,0.0
2018-03-12,10.5,10.5,10.5,10.5,0,0.0,0.0,0.0,0.0,0.0
2018-03-13,10.5,10.5,10.5,10.5,0,0.0,0.0,0.0,0.0,0.0
2018-03-14,10.5,10.5,10.5,10.5,0,0.0,0.0,0.0,0.0,0.0
2018-03-15,10.5,10.5,10.5,10.5,0,0.0,0.0,0.0,0.0,0.0
2018-03-16,10.5,10.5,10.5,10.5,0,0.0,0.0,0.0,0.0,0.0
2018-03-19,10.5,10.5,10.5,10.5,0,0.0,0.0,0.0,0.0,0.0
2018-03-20,10.5,10.5,10.5,10.5,0,0.0,0.0,0.0,0.0,0.0
2018-03-21,10.5,10.5,10.5,10.5,0,0.0,0.0,0.0,0.0,0.0
2018-03-22,10.5,10.5,10.5,10.5,0,0.0,0.0,0.0,0.0,0.0
2018-03-23,10.5,10.5,10.5,10.5,0,0.0,0.0,0.0,0.0,0.0
2018-03-26,10.5,10.5,10.5,10.5,0,0.0,0.0,0.0,0.0,0.0
2018-03-27,10.5,10.5,10.5,10.5,0,0.0,0.0,0.0,0.0,0.0
