time,open,high,low,close,volume
2024-11-12,12.26,12.26,11.79,11.89,829600
2024-11-13,11.51,12.17,11.51,11.7,393200
2024-11-14,11.42,11.79,10.38,10.85,448233
2024-11-15,10.7,11.3,10.5,10.9,256820
2024-11-18,10.5,11.0,10.5,10.8,138551
2024-11-19,10.6,10.9,10.6,10.7,128312
2024-11-20,10.7,10.8,10.5,10.8,160242
2024-11-21,10.7,11.0,10.6,10.8,100837
2024-11-22,11.0,11.0,10.5,11.0,151093
2024-11-25,10.8,10.9,10.6,10.8,165862
2024-11-26,10.7,10.7,10.4,10.6,76570
2024-11-27,10.5,10.8,10.4,10.8,434957
2024-11-28,10.8,10.8,10.4,10.6,163500
2024-11-29,10.7,10.7,10.2,10.6,208100
2024-12-02,10.5,10.5,10.0,10.5,192300
2024-12-03,10.5,11.0,10.1,10.4,157700
2024-12-04,10.4,10.4,10.0,10.4,189300
2024-12-05,10.3,10.3,9.9,10.1,175200
2024-12-06,10.0,10.1,9.8,10.1,469700
2024-12-09,10.1,10.1,9.8,10.0,203000
2024-12-10,10.1,10.1,9.8,10.0,92600
2024-12-11,10.0,10.0,9.7,9.9,92100
2024-12-12,9.9,9.9,8.5,9.8,244200
2024-12-13,9.8,9.8,9.3,9.8,96600
2024-12-16,9.7,9.7,9.3,9.6,83000
2024-12-17,9.7,10.0,9.0,9.0,263600
2024-12-18,9.6,9.7,9.2,9.6,126900
2024-12-19,9.6,9.6,8.5,9.0,100800
2024-12-20,9.0,9.4,8.3,9.1,481200
2024-12-23,9.0,9.0,8.4,8.9,236800
2024-12-24,8.8,8.8,8.3,8.7,88600
2024-12-25,8.6,8.7,8.5,8.6,114500
2024-12-26,8.6,8.6,8.5,8.5,20900
2024-12-27,8.6,8.6,8.3,8.5,133100
2024-12-30,8.5,8.5,8.0,8.4,147300
2024-12-31,8.4,8.4,7.9,8.3,101400
