time,open,high,low,close,volume
2024-09-27,13.0,16.8,13.0,16.8,51000
2024-09-30,18.7,18.7,17.0,17.0,8900
2024-10-01,17.3,17.3,17.1,17.1,8900
2024-10-02,17.3,17.3,17.0,17.0,6500
2024-10-03,17.3,17.3,17.1,17.1,1600
2024-10-04,17.2,17.2,17.2,17.2,4400
2024-10-07,17.5,17.5,17.2,17.2,3600
2024-10-08,17.2,17.3,17.1,17.3,123000
2024-10-09,17.2,17.3,17.2,17.3,2100
2024-10-10,17.5,17.5,17.4,17.4,300
2024-10-11,17.3,17.4,17.3,17.4,6000
2024-10-14,17.2,17.3,17.2,17.3,21000
2024-10-15,16.9,17.3,16.8,17.3,52000
2024-10-16,16.9,16.9,16.6,16.9,53200
2024-10-17,16.7,17.1,16.7,17.1,55300
2024-10-18,17.0,17.1,16.6,16.8,83800
2024-10-21,16.9,17.2,16.9,17.2,52000
2024-10-22,16.8,17.0,16.6,17.0,46300
2024-10-23,17.2,17.2,17.0,17.1,1700
2024-10-24,17.2,17.2,17.2,17.2,3800
2024-10-25,17.2,17.3,17.2,17.3,9000
2024-10-28,17.3,17.4,17.2,17.4,53100
2024-10-29,17.4,17.4,17.3,17.3,1200
2024-10-30,17.4,17.4,17.3,17.3,2300
2024-10-31,17.1,17.1,16.8,16.9,24800
2024-11-01,16.9,16.9,16.7,16.8,23000
2024-11-04,16.9,17.2,16.9,17.2,30100
2024-11-05,16.8,17.3,16.8,17.3,27200
2024-11-06,17.0,17.2,16.8,16.9,27900
2024-11-07,16.8,17.1,16.7,16.9,25600
2024-11-08,16.8,16.9,16.7,16.7,32500
2024-11-11,16.9,17.2,16.8,17.2,23100
2024-11-12,17.1,17.3,16.9,17.1,36400
2024-11-13,17.0,17.3,16.9,17.3,26400
2024-11-14,17.1,17.2,17.1,17.2,2200
2024-11-15,17.2,17.2,17.0,17.0,2100
2024-11-18,17.2,17.2,17.0,17.1,17200
2024-11-19,17.2,17.2,17.0,17.2,14500
2024-11-20,17.3,17.4,17.1,17.3,19600
2024-11-21,17.2,17.2,17.2,17.2,1000
2024-11-22,17.3,17.3,17.2,17.3,5400
2024-11-25,17.3,17.4,17.3,17.4,1500
2024-11-26,17.3,17.4,17.3,17.4,700
2024-11-27,17.3,17.3,17.3,17.3,800
2024-11-28,17.2,17.3,17.2,17.3,700
2024-11-29,17.1,17.1,17.1,17.1,500
2024-12-02,17.1,17.3,17.1,17.3,1900
2024-12-03,17.2,17.2,17.2,17.2,600
2024-12-04,17.0,17.0,17.0,17.0,500
2024-12-05,16.7,17.3,16.7,17.3,300
2024-12-06,16.9,17.0,16.9,17.0,700
2024-12-09,16.8,16.8,16.8,16.8,200
2024-12-11,16.9,16.9,16.9,16.9,500
2024-12-12,16.9,16.9,16.9,16.9,200
2024-12-13,16.9,16.9,16.9,16.9,300
2024-12-16,17.0,17.0,17.0,17.0,500
2024-12-17,17.0,17.0,17.0,17.0,200
2024-12-18,16.9,16.9,16.9,16.9,1200
2024-12-20,17.2,17.2,17.2,17.2,500
2024-12-23,17.2,17.2,17.2,17.2,500
2024-12-24,17.0,17.0,17.0,17.0,300
2024-12-27,17.2,17.2,17.2,17.2,300
2024-12-31,17.0,17.0,17.0,17.0,200
