time,open,high,low,close,volume
2024-01-11,13.8,13.8,13.8,13.8,474900
2024-01-12,15.8,15.8,15.8,15.8,85000
2024-01-15,18.1,18.1,18.1,18.1,300
2024-01-16,20.8,20.8,20.8,20.8,1048000
2024-01-17,23.9,23.9,18.0,20.8,63700
2024-01-18,20.0,21.0,20.0,20.0,1040800
2024-01-19,20.0,20.5,20.0,20.5,1037700
2024-01-22,20.5,20.5,19.5,20.1,180000
2024-01-23,20.1,20.3,19.8,20.0,1008500
2024-01-24,20.0,20.0,19.8,20.0,1014020
2024-01-25,19.8,20.0,19.1,19.9,168200
2024-01-26,19.9,20.4,19.9,20.4,1015101
2024-01-29,20.3,20.8,19.8,20.0,537300
2024-01-30,20.0,20.0,19.7,19.8,276911
2024-01-31,19.8,19.8,19.5,19.7,760102
2024-02-01,19.7,19.7,19.5,19.5,1174800
2024-02-02,19.5,19.7,18.2,19.7,1312111
2024-02-05,18.9,18.9,18.9,18.9,1010
2024-02-06,18.5,18.8,18.2,18.3,118100
2024-02-07,18.3,18.4,17.5,17.5,113300
2024-02-15,18.0,18.0,17.9,18.0,97800
2024-02-16,17.8,17.9,17.8,17.9,100301
2024-02-19,17.8,17.8,17.6,17.7,100308
2024-02-20,17.6,17.6,17.0,17.4,103110
2024-02-21,17.5,17.5,17.3,17.4,560800
2024-02-22,17.5,18.0,17.5,17.9,2001000
2024-02-23,17.5,17.6,17.5,17.6,105700
2024-02-26,17.6,17.9,17.6,17.6,3200701
2024-02-27,17.6,17.6,17.0,17.4,1040700
2024-02-28,17.6,17.6,17.0,17.0,580707
2024-02-29,17.5,17.5,17.4,17.4,76000
2024-03-01,17.5,17.5,16.8,17.3,137700
2024-03-04,17.4,17.4,17.0,17.3,126201
2024-03-05,17.0,17.0,16.8,17.0,151000
2024-03-06,16.9,16.9,16.9,16.9,110301
2024-03-07,16.9,17.0,16.9,17.0,143300
2024-03-08,16.9,16.9,16.3,16.9,133200
2024-03-11,16.9,16.9,16.8,16.9,129601
2024-03-12,17.0,17.0,16.8,16.8,230401
2024-03-13,16.9,17.0,16.8,17.0,128303
2024-03-14,17.0,17.0,17.0,17.0,150600
2024-03-15,16.9,17.0,16.9,17.0,132400
2024-03-18,17.0,17.0,16.3,16.7,129801
2024-03-19,16.7,17.4,15.6,16.1,273201
2024-03-20,17.0,17.2,15.7,15.8,258200
2024-03-21,17.0,17.2,15.0,15.3,316700
2024-03-22,16.6,17.2,14.3,15.0,300100
2024-03-25,16.4,16.4,14.1,15.0,296700
