time,open,high,low,close,volume
2021-12-27,14.74,14.74,14.74,14.74,100
2021-12-28,14.74,14.74,14.74,14.74,10
2021-12-29,16.88,16.88,16.88,16.88,100
2021-12-30,19.38,19.38,19.38,19.38,100
2021-12-31,22.24,22.24,22.24,22.24,100
2022-01-04,25.55,25.55,25.55,25.55,100
2022-01-05,29.3,29.3,29.3,29.3,500
2022-01-06,33.68,33.68,33.68,33.68,400
2022-01-07,38.68,38.68,38.68,38.68,60400
2022-01-10,44.4,44.4,43.77,44.4,93171
2022-01-11,50.92,50.92,37.79,41.09,69010
2022-01-12,39.75,39.75,35.02,36.54,66701
2022-01-13,37.16,37.25,31.8,31.98,55108
2022-01-14,31.27,35.55,30.37,33.86,30800
2022-01-17,33.05,33.05,32.16,32.16,16800
2022-01-18,31.35,32.16,31.27,31.62,16606
2022-01-19,31.27,34.39,31.27,33.95,11000
2022-01-20,33.95,33.95,33.05,33.5,6500
2022-01-21,34.39,35.73,34.39,35.2,18000
2022-01-24,34.93,34.93,33.5,33.5,10700
2022-01-25,33.5,34.84,32.43,33.05,16706
2022-01-26,33.32,33.95,33.32,33.5,3200
2022-01-27,32.16,33.05,31.98,33.05,4900
2022-01-28,33.68,33.68,32.16,32.16,6900
2022-02-07,33.05,33.14,33.05,33.14,3500
2022-02-08,35.64,35.64,33.14,33.86,3401
2022-02-09,33.5,34.39,33.5,33.59,23100
2022-02-10,33.23,33.5,33.05,33.5,6800
2022-02-11,33.32,33.86,33.32,33.59,10100
2022-02-14,33.05,33.5,33.05,33.41,13000
2022-02-15,33.05,33.68,31.62,33.68,4800
2022-02-16,33.05,33.32,32.69,33.32,12600
2022-02-17,33.41,33.68,33.05,33.68,6400
2022-02-18,33.5,33.5,33.32,33.32,400
2022-02-21,33.41,33.41,32.87,33.41,5500
2022-02-22,33.05,33.14,32.61,32.78,7900
2022-02-23,32.96,33.5,32.69,33.14,23900
2022-02-24,33.05,33.05,33.05,33.05,4000
2022-02-25,33.05,37.07,33.05,34.39,136400
2022-02-28,33.95,34.39,33.32,33.95,5400
2022-03-01,33.95,34.3,33.95,34.3,700
2022-03-02,33.59,33.59,32.69,32.69,13100
2022-03-03,32.78,33.41,32.78,32.87,11600
2022-03-04,33.14,33.86,32.43,33.23,9800
2022-03-07,33.41,33.41,32.96,32.96,14000
2022-03-08,32.87,33.05,32.34,33.05,13000
2022-03-09,32.87,32.87,32.78,32.78,6800
2022-03-10,32.69,32.96,32.69,32.78,7300
2022-03-11,32.78,32.78,32.78,32.78,100
2022-03-14,32.16,32.78,32.16,32.78,5200
2022-03-15,32.43,33.05,32.25,33.05,8700
2022-03-16,32.61,32.61,32.16,32.16,4300
2022-03-17,32.43,32.61,32.34,32.52,8100
2022-03-18,32.43,32.43,32.25,32.43,6500
2022-03-21,32.61,32.61,32.25,32.61,4300
2022-03-22,32.25,32.61,32.25,32.34,4200
